games,decisions,time,value_error,policy_error
20200,28133,3048.3725991249084,2416.367125573359,2118
20300,28274,3061.3565554618835,1999.4365928489162,2258
20400,28422,3075.336371898651,2293.3243235087148,2117
20500,28572,3090.068231344223,2056.283597379977,2129
20600,28714,3103.310963869095,2022.9965976032922,2123
20700,28866,3118.450748205185,2070.6570056752753,2143
20800,29013,3133.155396461487,2244.7427690351096,2206
20900,29148,3146.066642999649,2593.1589049058366,2149
21000,29284,3158.5150105953217,2186.684049129175,2106
21100,29427,3172.4231402873993,2302.4798278703574,2151
21200,29560,3198.152163743973,2088.272408973558,2148
21300,29704,3227.075268983841,2299.696093435422,2126
21400,29847,3255.155298233032,2100.27574177111,2183
21500,29990,3282.493855714798,2085.0906093345293,2186
21600,30131,3310.75923371315,2001.9249402031019,2173
21700,30276,3339.1085498332977,2082.1581007735417,2240
21800,30418,3367.1787996292114,2065.4316509462196,2208
21900,30563,3395.948358774185,2245.6747559779424,2114
22000,30709,3425.27152633667,2123.945463227382,2104
22100,30847,3452.4050862789154,2194.414305753796,2242
22200,30988,3479.6451194286346,2534.231284042651,2164
22300,31132,3508.1737542152405,2863.4535328947063,2224
22400,31283,3524.0842447280884,2690.0774964810066,2170
22500,31426,3538.0365810394287,2146.770017081708,2172
22600,31556,3550.0164155960083,2206.7372736488487,2132
22700,31698,3563.9336037635803,2264.184503750557,2166
22800,31826,3575.6957623958588,2588.6775421649254,2231
22900,31968,3589.560516357422,2420.000118119292,2170
23000,32100,3602.1811888217926,2182.2128096836195,2190
23100,32242,3615.8195056915283,2151.5677410295693,2269
23200,32378,3628.4448907375336,2207.363328968955,2248
23300,32519,3642.4327940940857,2327.7630922062585,2258
23400,32651,3655.232066631317,2328.2506815993465,2214
23500,32791,3669.427452802658,2270.6242991145427,2269
23600,32933,3683.841538667679,2399.589238240121,2278
23700,33077,3707.2840642929077,2176.7011532128236,2273
23800,33211,3720.0081367492676,2211.4097050182027,2227
23900,33356,3734.501121044159,2085.741598892987,2237
24000,33498,3748.39399433136,2343.693969363479,2281
24100,33641,3762.23197555542,2595.684886588252,2276
24200,33784,3776.6329181194305,2369.756843336254,2419
24300,33918,3789.0743906497955,2235.3796092189727,2188
24400,34045,3801.05575799942,2274.4715255142864,2293
24500,34177,3813.0820462703705,2101.355242057034,2294
24600,34316,3826.824458837509,2769.7438126700977,2247
24700,34460,3841.1149973869324,2214.553935651118,2298
24800,34610,3856.4783687591553,2296.9748396205655,2245
24900,34745,3869.4210131168365,2464.8822082098905,2294
25000,34888,3883.4913415908813,2309.3084318207484,2340
25100,35036,3898.0883119106293,2515.785990532029,2236
25200,35185,3912.881945371628,2272.647657984868,2303
25300,35330,3927.232507944107,2318.1744586763925,2343
25400,35470,3940.328455209732,2413.7953069981386,2286
25500,35621,3955.5404918193817,2669.7918395458105,2277
25600,35769,3970.5907258987427,2622.7709719845393,2276
25700,35908,3983.884183883667,2678.296318140473,2294
25800,36034,3994.993487596512,2939.4282274570833,2274
25900,36175,4008.436001777649,2811.9809562067476,2275
26000,36305,4020.278871536255,2514.0655622612094,2331
26100,36447,4034.0566380023956,3507.0017717985093,2391
26200,36594,4048.5989105701447,2782.799536468874,2345
26300,36726,4060.624377965927,2730.9432553545726,2319
26400,36864,4073.637648820877,2843.8924796216165,2370
26500,36994,4085.8408925533295,3059.1648088899824,2350
26600,37128,4098.851516246796,3475.514703159741,2389
26700,37266,4112.065651416779,2545.4245667662613,2500
26800,37415,4126.90257024765,2994.8325582777175,2347
