hand_value,soft_hand,dealer_card,occurrence,hit_frequency,stay_frequency,expected_value
5,False,9,6.842753524018066e-05,1.0,0.0,-0.31239350872745153
6,False,9,0.00020528260572054194,1.0,0.0,-0.3457636287679587
7,False,9,0.00020528260572054194,1.0,0.0,-0.35000938149075983
8,False,9,0.0004105652114410839,1.0,0.0,-0.2824089470168615
9,False,9,0.00047899274668126453,1.0,0.0,-0.14825072317437152
10,False,9,0.0007527028876419871,1.0,0.0,0.011400891159872743
11,False,9,0.0008895579581223484,1.0,0.0,0.03888046993848552
12,False,9,0.0038319419734501163,1.0,0.0,-0.3134130842760486
13,False,9,0.004584644861092104,1.0,0.0,-0.34977823155455967
14,False,9,0.005679485424934994,1.0,0.0,-0.41687688602264356
15,False,9,0.006705898453537704,1.0,0.0,-0.48889792204316435
16,False,9,0.008006021623101135,0.8547008547008547,0.1452991452991453,-0.5571646459541715
17,False,9,0.009169289722184207,0.0,1.0,-0.5177663232709457
18,False,9,0.010743123032708362,0.0,1.0,-0.3027888830080633
19,False,9,0.011974818667031614,0.0,1.0,0.14915327680850293
20,False,9,0.013617079512795949,0.0,1.0,0.588028321135177
21,False,9,0.014917202682359382,0.0,1.0,0.737883015289661
4,True,9,0.0,,,
5,True,9,0.0,,,
6,True,9,0.0,,,
7,True,9,0.0,,,
8,True,9,0.0,,,
9,True,9,0.0,,,
10,True,9,0.0,,,
11,True,9,0.0,,,
12,True,9,6.842753524018066e-05,1.0,0.0,-0.09663367896347379
13,True,9,0.0001368550704803613,1.0,0.0,-0.0997259522087677
14,True,9,0.00020528260572054194,1.0,0.0,-0.11593667252984367
15,True,9,0.0003421376762009032,1.0,0.0,-0.08787607505876431
16,True,9,0.00047899274668126453,1.0,0.0,-0.028984922913312783
17,True,9,0.0006842753524018064,1.0,0.0,-0.08804715357398012
18,True,9,0.0008895579581223484,1.0,0.0,-0.012477220708160597
19,True,9,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.2750729770372896
20,True,9,0.001573833310524155,0.21739130434782608,0.782608695652174,0.6347904925996987
21,True,9,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7591622183634275
4,False,10,6.842753524018066e-05,1.0,0.0,-0.354011572447761
5,False,10,6.842753524018066e-05,1.0,0.0,-0.3828968895484421
6,False,10,0.00020528260572054194,1.0,0.0,-0.41328149362138494
7,False,10,0.00020528260572054194,1.0,0.0,-0.4157794944079529
8,False,10,0.0004105652114410839,1.0,0.0,-0.3667571751406391
9,False,10,0.00047899274668126453,1.0,0.0,-0.29179408980008004
10,False,10,0.0007527028876419871,1.0,0.0,-0.13350565211135842
11,False,10,0.0008895579581223484,1.0,0.0,-0.052844283322404366
12,False,10,0.0038319419734501163,1.0,0.0,-0.3308488985813217
13,False,10,0.004584644861092104,1.0,0.0,-0.3993696592545381
14,False,10,0.005679485424934994,1.0,0.0,-0.46144360791454564
15,False,10,0.006705898453537704,1.0,0.0,-0.5289964843555802
16,False,10,0.008006021623101135,0.7008547008547008,0.29914529914529914,-0.591786718205402
17,False,10,0.009169289722184207,0.06716417910447761,0.9328358208955224,-0.5636682439480604
18,False,10,0.010743123032708362,0.0,1.0,-0.36654412005781883
19,False,10,0.011974818667031614,0.0,1.0,-0.16445999858403645
20,False,10,0.013617079512795949,0.0,1.0,0.27354880993577474
21,False,10,0.014917202682359382,0.0,1.0,0.6997283276200393
4,True,10,0.0,,,
5,True,10,0.0,,,
6,True,10,0.0,,,
7,True,10,0.0,,,
8,True,10,0.0,,,
9,True,10,0.0,,,
10,True,10,0.0,,,
11,True,10,0.0,,,
